,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
848,2019-10-13_21-58-08,848,3743,SUNSURIA[S],s,-,0.680,-,-,-,844,0.650,0.680,30,-,-
849,2019-10-13_21-58-08,849,3743WA,SUNSURIA-WA[S],s,0.025,0.020,0.005,+25.00,5886,1000,0.020,0.025,4780,0.025,0.020
850,2019-10-13_21-58-08,850,5211,SUNWAY[S],s,1.680,1.690,-0.010,-0.59,54042,2798,1.670,1.680,6095,1.700,1.670
851,2019-10-13_21-58-08,851,5211WB,SUNWAY-WB[S],s,0.380,0.370,0.010,+2.70,5974,3500,0.375,0.385,2731,0.385,0.375
852,2019-10-13_21-58-08,852,7235,SUPERLN[S],s,0.965,0.955,0.010,+1.05,5933,286,0.965,0.970,360,0.980,0.950
853,2019-10-13_21-58-08,853,7106,SUPERMX[S],s,1.490,1.520,-0.030,-1.97,30036,6954,1.490,1.500,971,1.520,1.490
854,2019-10-13_21-58-08,854,6521,SURIA[S],s,1.420,1.410,0.010,+0.71,193,1,1.400,1.420,36,1.420,1.400
855,2019-10-13_21-58-08,855,5135,SWKPLNT[S],s,-,1.470,-,-,-,187,1.460,1.560,51,-,-
856,2019-10-13_21-58-08,856,7186,SWSCAP[S],s,-,0.650,-,-,-,50,0.630,0.650,100,-,-
857,2019-10-13_21-58-08,857,7186WB,SWSCAP-WB[S],s,0.070,0.065,0.005,+7.69,10,705,0.055,0.070,568,0.070,0.070
858,2019-10-13_21-58-08,858,9717,SYCAL,s,0.230,0.225,0.005,+2.22,230,1468,0.225,0.230,509,0.230,0.225
859,2019-10-13_21-58-08,859,7082,SYF[S],s,0.195,0.190,0.005,+2.63,3040,436,0.190,0.195,997,0.195,0.185
860,2019-10-13_21-58-08,860,7082WB,SYF-WB[S],s,-,0.005,-,-,-,-,-,0.005,16029,-,-
861,2019-10-13_21-58-08,861,1538,SYMLIFE[S],s,0.380,0.380,-,-,930,210,0.380,0.385,399,0.385,0.380
862,2019-10-13_21-58-08,862,1538WB,SYMLIFE-WB[S],s,0.025,0.020,0.005,+25.00,10,991,0.020,0.025,4414,0.025,0.025
863,2019-10-13_21-58-08,863,5173,SYSCORP[S],s,0.235,0.230,0.005,+2.17,1363,17,0.235,0.240,125,0.235,0.235
864,2019-10-13_21-58-08,864,7228,T7GLOBAL[S],s,0.455,0.470,-0.015,-3.19,9972,800,0.450,0.455,10,0.470,0.450
865,2019-10-13_21-58-08,865,4898,TA,s,0.630,0.620,0.010,+1.61,1800,200,0.630,0.635,707,0.635,0.625
866,2019-10-13_21-58-08,866,5012,TAANN[S],s,2.300,2.310,-0.010,-0.43,1172,5,2.280,2.300,246,2.320,2.280
867,2019-10-13_21-58-08,867,4022,TADMAX[S],s,0.275,0.275,-,-,6404,16191,0.270,0.275,1064,0.280,0.270
868,2019-10-13_21-58-08,868,7211,TAFI[S],s,-,0.240,-,-,-,50,0.230,0.300,80,-,-
869,2019-10-13_21-58-08,869,5158,TAGB,s,0.230,0.230,-,-,3626,254,0.225,0.230,6990,0.230,0.225
870,2019-10-13_21-58-08,870,6139,TAKAFUL[S],s,6.300,6.220,0.080,+1.29,1040,100,6.300,6.310,174,6.300,6.210
871,2019-10-13_21-58-08,871,2259,TALAMT[S],s,0.035,0.035,-,-,5640,519510,0.030,0.035,37893,0.035,0.035
872,2019-10-13_21-58-08,872,8524,TALIWRK[S],s,0.920,0.910,0.010,+1.10,6970,2715,0.920,0.925,1,0.930,0.910
873,2019-10-13_21-58-08,873,5191,TAMBUN[S],s,0.735,0.735,-,-,4917,1130,0.730,0.735,2271,0.750,0.735
874,2019-10-13_21-58-08,874,2429,TANCO[S],s,0.055,0.055,-,-,1205,16707,0.055,0.060,31671,0.055,0.055
875,2019-10-13_21-58-08,875,2429WB,TANCO-WB[S],s,0.020,0.015,0.005,+33.33,2760,22995,0.015,0.020,159,0.020,0.020
876,2019-10-13_21-58-08,876,5149,TAS[S],s,0.235,0.235,-,-,1949,250,0.235,0.240,8,0.240,0.230
877,2019-10-13_21-58-08,877,5140,TASCO,s,-,1.080,-,-,-,58,1.040,1.080,130,-,-
878,2019-10-13_21-58-08,878,4448,TASEK[S],s,-,5.360,-,-,-,50,5.350,5.790,7,-,-
879,2019-10-13_21-58-08,879,4448P,TASEK-PA,s,-,7.430,-,-,-,3,5.860,7.430,3,-,-
880,2019-10-13_21-58-08,880,7097,TAWIN,s,0.110,0.110,-,-,8314,34144,0.105,0.110,1379,0.110,0.105
881,2019-10-13_21-58-08,881,7097PA,TAWIN-PA,s,0.035,0.035,-,-,6800,41049,0.035,0.040,115485,0.035,0.035
882,2019-10-13_21-58-08,882,7097WA,TAWIN-WA,s,0.050,0.050,-,-,510,39008,0.045,0.050,11096,0.050,0.045
883,2019-10-13_21-58-08,883,4405,TCHONG[S],s,1.320,1.320,-,-,673,390,1.310,1.330,204,1.330,1.320
